gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	stage_region	stage	region
PRDX1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.34123	0	-0.001	0.999	0.997	0.998	0.34157	early_pfc	early	pfc
SMS	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.3412	2e-5	0.114	1.20357	0.674	0.56	0.28349	early_pfc	early	pfc
ACTB	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.33693	0	0	1	1	1	0.33694	early_pfc	early	pfc
MT-CYB	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.33692	0	0.001	1.001	0.997	0.996	0.33658	early_pfc	early	pfc
SERF2	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.33219	0	0.053	1.05982	0.939	0.886	0.31344	early_pfc	early	pfc
SELK	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.33088	0	0.084	1.15642	0.621	0.537	0.28612	early_pfc	early	pfc
RPL11	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.33047	0	0	1	1	1	0.33047	early_pfc	early	pfc
RTN1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.32918	0	0.052	1.05916	0.931	0.879	0.3108	early_pfc	early	pfc
SEC61B	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.32852	0	0.073	1.0972	0.824	0.751	0.29942	early_pfc	early	pfc
AP2S1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.32753	0	0.098	1.17626	0.654	0.556	0.27845	early_pfc	early	pfc
STMN1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.32636	0	0.001	1.001	1	0.999	0.32604	early_pfc	early	pfc
NUDT1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.32571	0.003	0.112	1.2807	0.511	0.399	0.25432	early_pfc	early	pfc
NDUFB9	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.3251	0	0.121	1.21568	0.682	0.561	0.26742	early_pfc	early	pfc
ATOX1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.32459	0.00131	0.107	1.28232	0.486	0.379	0.25313	early_pfc	early	pfc
PHPT1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.32457	1e-5	0.121	1.22161	0.667	0.546	0.26569	early_pfc	early	pfc
RPL8	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.32433	0	-0.002	0.998	0.997	0.999	0.32498	early_pfc	early	pfc
HIGD2A	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.32092	1e-4	0.112	1.23431	0.59	0.478	0.26	early_pfc	early	pfc
SOD1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.31977	0	0.058	1.07542	0.827	0.769	0.29734	early_pfc	early	pfc
HN1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.31935	0	0.003	1.00302	0.997	0.994	0.31839	early_pfc	early	pfc
SRP14	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.31731	0	0.003	1.00302	0.997	0.994	0.31636	early_pfc	early	pfc
GPX4	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.31292	0	0.056	1.06896	0.868	0.812	0.29273	early_pfc	early	pfc
NDUFA4	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.31283	0	0.034	1.03716	0.949	0.915	0.30163	early_pfc	early	pfc
