item1	item2	n
rg_pfc_mid	neuron_temporal_mid	79
rg_pfc_mid	neuron_v1_early	46
rg_pfc_mid	neuron_v1_late	26
rg_pfc_mid	neuron_v1_mid	137
rg_pfc_mid	rg_msp_early	130
rg_pfc_mid	rg_msp_late	160
rg_pfc_mid	rg_msp_mid	462
rg_pfc_mid	rg_pfc_early	45
rg_pfc_mid	rg_pfc_late	38
rg_pfc_mid	rg_pfc_mid	711
rg_pfc_mid	rg_temporal_early	27
rg_pfc_mid	rg_temporal_late	20
rg_pfc_mid	rg_temporal_mid	132
rg_pfc_mid	rg_v1_early	86
rg_pfc_mid	rg_v1_late	34
rg_pfc_mid	rg_v1_mid	354
rg_temporal_early	neuron_msp_early	18
rg_temporal_early	neuron_msp_late	20
rg_temporal_early	neuron_msp_mid	30
rg_temporal_early	neuron_pfc_early	17
rg_temporal_early	neuron_pfc_late	7
rg_temporal_early	neuron_pfc_mid	25
rg_temporal_early	neuron_temporal_early	4
rg_temporal_early	neuron_temporal_late	19
rg_temporal_early	neuron_temporal_mid	17
rg_temporal_early	neuron_v1_early	5
rg_temporal_early	neuron_v1_late	6
rg_temporal_early	neuron_v1_mid	16
rg_temporal_early	rg_msp_early	7
rg_temporal_early	rg_msp_late	13
rg_temporal_early	rg_msp_mid	38
rg_temporal_early	rg_pfc_early	10
rg_temporal_early	rg_pfc_late	4
rg_temporal_early	rg_pfc_mid	27
rg_temporal_early	rg_temporal_early	46
rg_temporal_early	rg_temporal_late	7
rg_temporal_early	rg_temporal_mid	18
rg_temporal_early	rg_v1_early	12
rg_temporal_early	rg_v1_late	8
rg_temporal_early	rg_v1_mid	15
rg_temporal_late	neuron_msp_early	14
rg_temporal_late	neuron_msp_late	15
rg_temporal_late	neuron_msp_mid	22
rg_temporal_late	neuron_pfc_early	5
rg_temporal_late	neuron_pfc_late	4
rg_temporal_late	neuron_pfc_mid	13
rg_temporal_late	neuron_temporal_early	6
rg_temporal_late	neuron_temporal_late	20
rg_temporal_late	neuron_temporal_mid	14
rg_temporal_late	neuron_v1_early	7
rg_temporal_late	neuron_v1_late	7
rg_temporal_late	neuron_v1_mid	10
rg_temporal_late	rg_msp_early	7
rg_temporal_late	rg_msp_late	20
rg_temporal_late	rg_msp_mid	37
rg_temporal_late	rg_pfc_early	6
rg_temporal_late	rg_pfc_late	7
rg_temporal_late	rg_pfc_mid	20
rg_temporal_late	rg_temporal_early	7
rg_temporal_late	rg_temporal_late	50
rg_temporal_late	rg_temporal_mid	19
rg_temporal_late	rg_v1_early	16
rg_temporal_late	rg_v1_late	7
rg_temporal_late	rg_v1_mid	15
rg_temporal_mid	neuron_msp_early	78
rg_temporal_mid	neuron_msp_late	93
rg_temporal_mid	neuron_msp_mid	152
rg_temporal_mid	neuron_pfc_early	46
rg_temporal_mid	neuron_pfc_late	31
rg_temporal_mid	neuron_pfc_mid	70
rg_temporal_mid	neuron_temporal_early	27
rg_temporal_mid	neuron_temporal_late	43
