	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
C12orf4	0.00205790744372981	0.5280253885736	0.286	0.018	1	motor	C12orf4
CDADC1	0.00205790744372981	0.521414348671043	0.286	0.018	1	motor	CDADC1
GTPBP10	0.00205790744372981	0.520390176515532	0.286	0.018	1	motor	GTPBP10
SSPN	0.00205790744372981	0.515735133698504	0.286	0.018	1	motor	SSPN
ZNF653	0.00205790744372981	0.510438576308294	0.286	0.018	1	motor	ZNF653
RFC4	0.00205790744372981	0.508313957607847	0.286	0.018	1	motor	RFC4
TIAM2	0.00205790744372981	0.488978562087289	0.286	0.018	1	motor	TIAM2
EPHB1	0.00205790744372981	0.476298962121487	0.286	0.018	1	motor	EPHB1
CSMD3	0.00205790744372981	0.277257237106917	0.286	0.018	1	motor	CSMD3
GGT5	0.00205790744372981	0.277257237106917	0.286	0.018	1	motor	GGT5
DHDDS	0.00205790744372981	0.271176757443797	0.286	0.018	1	motor	DHDDS
ZNF384	0.00205790744372981	0.271176757443797	0.286	0.018	1	motor	ZNF384
ZNF30	0.00205790744372981	0.271176757443797	0.286	0.018	1	motor	ZNF30
RAP1B	0.00205790744372981	0.270163117016206	0.286	0.018	1	motor	RAP1B
TRIL	0.00205790744372981	0.266071797870346	0.286	0.018	1	motor	TRIL
LAS1L	0.00205790744372981	0.266071797870346	0.286	0.018	1	motor	LAS1L
PURG	0.00205790744372981	0.266071797870346	0.286	0.018	1	motor	PURG
ZBTB37	0.00205790744372981	0.250451686050454	0.286	0.018	1	motor	ZBTB37
GLO1	0.00209067215242292	0.491056667207623	0.714	0.143	1	motor	GLO1
MPPED1	0.00209071258979152	0.684805752687905	0.571	0.107	1	motor	MPPED1
C6orf1	0.0020911900366837	0.454869364739169	0.714	0.143	1	motor	C6orf1
ACYP1	0.0020911900366837	0.373857280518634	0.714	0.143	1	motor	ACYP1
CRK	0.0020911900366837	0.349602881608153	0.714	0.143	1	motor	CRK
F12	0.00213891216087539	0.585328935058289	0.429	0.054	1	motor	F12
CCSAP	0.00213891216087539	0.543813080909936	0.429	0.054	1	motor	CCSAP
HGS	0.00213891216087539	0.522397753490438	0.429	0.054	1	motor	HGS
BEND6	0.00213891216087539	0.512274200388796	0.429	0.054	1	motor	BEND6
VSNL1	0.00213891216087539	0.456764336328079	0.429	0.054	1	motor	VSNL1
GNB1L	0.00213891216087539	0.374808640102008	0.429	0.054	1	motor	GNB1L
TAOK3	0.00213891216087539	0.369609544979299	0.429	0.054	1	motor	TAOK3
NCBP3	0.00213891216087539	0.324398303769684	0.429	0.054	1	motor	NCBP3
GDAP1L1	0.00222450450858176	0.732842695004188	0.857	0.25	1	motor	GDAP1L1
EPHB6	0.00225182458358041	0.306174720810569	0.571	0.089	1	motor	EPHB6
MAF1	0.00225182458358041	0.264737602416072	0.571	0.089	1	motor	MAF1
SNRNP25	0.0023187549836258	0.428246951710014	0.714	0.143	1	motor	SNRNP25
OLFM1	0.00242914405874271	0.830327846067873	1	0.714	1	motor	OLFM1
MTRNR2L1	0.00242926074589386	0.413611037985562	1	0.232	1	motor	MTRNR2L1
PLEKHA1	0.00246754219187431	0.433497549627521	0.429	0.054	1	motor	PLEKHA1
TRPT1	0.00246754219187431	0.430095365717816	0.429	0.054	1	motor	TRPT1
TP53RK	0.00246754219187431	0.406444965056262	0.429	0.054	1	motor	TP53RK
PRCC	0.00246754219187431	0.384539715419917	0.429	0.054	1	motor	PRCC
SCAF1	0.00246754219187431	0.376423211141272	0.429	0.054	1	motor	SCAF1
SRSF12	0.00246754219187431	0.372270536155463	0.429	0.054	1	motor	SRSF12
NFKBIA	0.00246754219187431	0.324990893786127	0.429	0.054	1	motor	NFKBIA
AHCY	0.00246754219187431	0.296614417303208	0.429	0.054	1	motor	AHCY
SPATS2L	0.00246754219187431	0.262651873483782	0.429	0.054	1	motor	SPATS2L
ZNF44	0.00250711736318635	0.46780652235514	0.286	0.018	1	motor	ZNF44
VAMP3	0.00250711736318635	0.457078788511576	0.286	0.018	1	motor	VAMP3
CTD-2126E3.4	0.00250711736318635	0.447424527704053	0.286	0.018	1	motor	CTD-2126E3.4
PHF24	0.00250711736318635	0.432350560017103	0.286	0.018	1	motor	PHF24
LINC01579	0.00250711736318635	0.417894773884817	0.286	0.018	1	motor	LINC01579
SETD3	0.00250711736318635	0.399419588484073	0.286	0.018	1	motor	SETD3
IRF2	0.00250711736318635	0.378865341243205	0.286	0.018	1	motor	IRF2
ST6GALNAC5	0.00250711736318635	0.373812044285479	0.286	0.018	1	motor	ST6GALNAC5
PKI55	0.00250711736318635	0.32840375875305	0.286	0.018	1	motor	PKI55
MESDC1	0.00250711736318635	0.303985669309411	0.286	0.018	1	motor	MESDC1
MAEA	0.00250711736318635	0.253028312452904	0.286	0.018	1	motor	MAEA
ASNA1	0.00252455201649853	0.645006668860279	0.714	0.161	1	motor	ASNA1
CLTC	0.00253695693097086	0.267855730998138	0.571	0.089	1	motor	CLTC
VEGFB	0.00255023466208386	0.977760038536776	0.857	0.321	1	motor	VEGFB
FAM173A	0.00256879596689562	0.325584174793584	0.714	0.143	1	motor	FAM173A
